Act,Player,Line,PlayerLine,PlayerPercent
1,ABRAHAM,5,5,100
1,BENVOLIO,34,34,53.125
1,CAPULET,14,14,28
1,FIRST CITIZEN,1,1,33.33333333
1,FIRST SERVANT,3,3,75
1,GREGORY,15,15,100
1,JULIET,16,16,13.55932203
1,LADY CAPULET,12,12,27.27272727
1,LADY MONTAGUE,2,2,100
1,MERCUTIO,11,11,17.74193548
1,MONTAGUE,6,6,60
1,NURSE,20,20,22.22222222
1,PARIS,2,2,8.695652174
1,PRINCE,1,1,6.25
1,RICHMOND,1,1,100
1,ROMEO,50,50,30.67484663
1,SAMPSON,20,20,100
1,SECOND CAPULET,2,2,100
1,SECOND SERVANT,3,3,50
1,SERVANT,10,10,100
1,TYBALT,8,8,47.05882353
2,BENVOLIO,16,16,25
2,CHORUS,1,1,100
2,FRIAR LAURENCE,14,14,25.45454545
2,JULIET,40,40,33.89830508
2,MERCUTIO,34,34,54.83870968
2,NURSE,32,32,35.55555556
2,PETER,3,3,23.07692308
2,ROMEO,65,65,39.87730061
3,BENVOLIO,14,14,21.875
3,CAPULET,12,12,24
3,FIRST CITIZEN,2,2,66.66666667
3,FRIAR LAURENCE,15,15,27.27272727
3,JULIET,40,40,33.89830508
3,LADY CAPULET,19,19,43.18181818
3,MERCUTIO,17,17,27.41935484
3,MONTAGUE,1,1,10
3,NURSE,27,27,30
3,PARIS,3,3,13.04347826
3,PRINCE,4,4,25
3,ROMEO,34,34,20.85889571
3,TYBALT,9,9,52.94117647
4,CAPULET,20,20,40
4,FIRST MUSICIAN,9,9,100
4,FIRST SERVANT,1,1,25
4,FRIAR LAURENCE,12,12,21.81818182
4,JULIET,19,19,16.10169492
4,LADY  CAPULET,1,1,100
4,LADY CAPULET,11,11,25
4,MUSICIAN,1,1,100
4,NURSE,11,11,12.22222222
4,PARIS,13,13,56.52173913
4,PETER,10,10,76.92307692
4,SECOND MUSICIAN,3,3,100
4,SECOND SERVANT,3,3,50
4,THIRD MUSICIAN,1,1,100
5,APOTHECARY,4,4,100
5,BALTHASAR,12,12,100
5,CAPULET,4,4,8
5,FIRST WATCHMAN,6,6,100
5,FRIAR JOHN,4,4,100
5,FRIAR LAURENCE,14,14,25.45454545
5,JULIET,3,3,2.542372881
5,LADY CAPULET,2,2,4.545454545
5,MONTAGUE,3,3,30
5,PAGE,4,4,100
5,PARIS,5,5,21.73913043
5,PRINCE,11,11,68.75
5,ROMEO,14,14,8.588957055
5,SECOND WATCHMAN,1,1,100
5,THIRD WATCHMAN,1,1,100
